,clouds_6,day_time_3,init_pos_4,label
418,3,93053.067,3.6446,1
419,1,69046.2153,1.4958,0
420,4,65447.7415,5.5356,1
421,2,52431.7645,6.2115,1
422,0,77863.0096,0.2577,1
423,2,57281.3938,3.7387,1
424,0,85580.757,2.8876,1
425,2,67066.8869,7.8408,1
426,2,81267.3842,3.3299,1
427,2,51500.3996,2.2631,1
428,0,63943.1139,1.6758,0
429,5,84378.0147,3.3719,0
430,0,73461.4998,1.9961,0
431,4,86881.3653,3.5906,1
432,5,51573.4022,1.8756,1
433,3,58565.6824,5.4123,1
434,5,71234.0962,1.4958,0
435,2,59848.4267,4.6547,1
436,0,75100.2571,7.4525,1
437,5,58911.3245,7.3956,1
438,2,71189.8331,7.2868,1
439,5,86331.891,1.4356,0
440,2,58262.8102,2.1252,0
441,2,75907.933,0.8557,1
442,3,63868.4363,1.4604,0
